DHI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,MBE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA,,,Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA
Mahikeng,44.73,45.1,44.52,37.94,47.68,48.8,47.3,49.43,46.71,96.92,44.75,44.83,72.71,51.52,121.04,51.52,59.09,52.38,54.04,63.58,43.66,46.94,45.91,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene,39.53,39.48,40.68,45.07,39.41,39.83,39.1,40.03,45.24,75.13,41.02,40.18,73.11,54.07,98.21,42.06,58.62,41.81,54.06,44.18,39.6,38.71,37.88,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretoria,39.46,39.58,40.68,50,40.02,39.95,39.65,40.79,45.08,77.72,41.07,40.21,72.84,52.66,99.57,43.36,58.74,42.83,53.5,46.26,38.99,38.59,37.96,,,,,,,,,,,,,,,,,,,,,,,,,,
Thohoyandou,37.32,37.23,39.1,34.31,37.44,37.35,37.53,37.61,47.86,66.4,42.45,40.48,75.16,46.23,78.26,46.05,62.5,38,57.98,47.46,37.25,40.05,37.38,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelspruit,38.18,37.81,36.1,35.13,37.08,37.34,36.55,38.6,40.25,76.8,36.39,35.36,69.61,41.53,90.5,43.55,54.37,41.16,50.94,58.07,36.02,40.66,38.67,,,,,,,,,,,,,,,,,,,,,,,,,,
Durban,39.96,34.89,39.54,37.78,34.53,33.97,35.14,35.34,45.47,63.01,39.93,37.45,73.51,36.8,68.5,49.37,59.37,35.51,58.12,34.63,35.08,34.33,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Mthatha,41.97,44.58,42.5,41.18,55.78,51.88,53.07,57.48,41.06,110.21,43.46,45.95,64.7,41.38,123.28,51.25,47.72,63.76,51.17,67.9,47.43,56.37,51.44,,,,,,,,,,,,,,,,,,,,,,,,,,
George,42.48,41.92,42.36,40.98,51.26,59.17,48.1,50.6,42.62,104.7,42.21,43.53,68.26,43.74,115.2,50.95,52.91,55.75,54.04,75.7,54.34,72.26,61.31,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellenboch,38.54,38.61,39.53,39.73,52.09,59.2,47.73,50.36,38.8,117.05,39.5,42.03,64.94,43.12,129.28,50.33,51.31,56.44,47.68,70.5,51.24,69.09,59.03,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Point,39.99,39.2,39.44,35.99,45.97,50.1,43.39,45.24,40.52,96.81,38.97,40.38,68.12,40.16,107.84,43.96,50.27,49.4,57.08,55.6,44.63,55.49,48.84,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,40,40,40,52,59,51,53,47,102,47,48,72,49,119,53,58,57,56,76,55,66,59,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Bay,17.26,16.82,20.08,19.96,33.16,54.56,29.34,32.08,16.74,78.49,19.97,22.98,40.9,23.51,80.02,27.6,24.44,37.21,25.26,73.91,50.39,70.86,57.84,,,,,,,,,,,,,,,,,,,,,,,,,,
Upington,15.45,17.71,26.77,19.2,41.05,54.64,38.15,42.42,20.01,82.06,27.34,31.99,26.1,20.28,88.85,24.98,16.24,47.45,21.12,89.94,50.02,65.19,57.06,,,,,,,,,,,,,,,,,,,,,,,,,,
De Aar,17.74,17.74,25.09,16.72,45.88,60.08,43.54,48.08,25.12,85.05,32.7,37.13,25.38,20.57,94.9,29.96,19.18,53.79,23.24,90.15,49.09,61.55,56.08,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethlehem,24.71,24.71,26.17,19.36,43.02,37.71,42.72,46.49,34.02,69.51,36.5,37.79,50.39,35.03,79.32,44.45,37,50.15,37,41.05,33.44,34.91,34.64,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahikeng,25.68,27.95,26.18,19.59,32.51,32.7,31.8,34.76,25.05,67.03,26.5,27.85,47.5,26.79,80.26,32.59,32.12,38.02,31.71,47.52,26.79,30.47,30.42,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene,28.73,28.01,28.13,37.13,29.34,29.16,28.87,30.78,30.4,56.05,28.31,28.47,58.22,36.87,71.22,29.36,40.5,33.24,40.13,34.45,27.99,27.84,27.37,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretoria,27.78,27.42,27.48,30.7,29.28,28.86,28.69,30.62,29.6,58.64,27.74,27.9,57.22,35.19,71.71,29.48,40.15,33.28,38.9,35.66,27.16,27.6,27.21,,,,,,,,,,,,,,,,,,,,,,,,,,
Thohoyandou,27.1,27.19,29.4,22.41,27.35,27.45,26.84,27.67,34.97,56.01,29.68,28.45,69.81,32.92,64.45,34.03,51.28,29.09,49.36,43.57,26.26,31.62,28.34,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelspruit,26.66,26.22,22.34,20.43,25.73,25.7,24.87,27.47,24.1,57.41,22.62,22.53,52.96,24.78,64.28,29.16,34.59,30.41,35.25,45.87,23.78,28.15,27.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Durban,33.39,23.65,24.31,27.81,23.3,23.21,22.5,23.74,31.36,53.38,24.61,22.78,67.7,22.57,52.81,34.7,47.92,25.67,49.49,25.76,21.88,24.2,22.97,,,,,,,,,,,,,,,,,,,,,,,,,,
Mthatha,21.64,33.43,23.25,21.43,34.22,27.71,31.71,36.08,19.48,65.42,23.54,25.84,35.57,20.4,64.72,28.49,20.44,41.12,25.83,38.78,25.09,29.98,28.37,,,,,,,,,,,,,,,,,,,,,,,,,,
George,21.61,19.74,21.32,17.71,33.57,39.12,29.72,33.08,18.45,69.61,21.32,24,42.55,24.49,69.61,27.89,25.01,38.45,28.61,53.1,34.62,46.74,41.13,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellenboch,18.53,20.18,22.16,24.34,35.96,41.34,31.45,34.4,18.39,78.9,22.17,25.78,40.66,27.08,79.84,27.71,25.68,40.1,25.06,50.56,34.37,47.06,41.27,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Point,21.35,17.7,18.98,16.96,28.78,30.94,25.31,28.92,17.43,60.69,18.51,21.07,44.65,22.03,64.41,23.53,26.02,33.5,32.97,35.89,25.12,33.29,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,23,24,22,33,37,31,34,25,67,26,27,47,27,73,30,31,38,33,50,33,40,36,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
