DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellenboch,57.63,58.06,59.37,77.19,101.03,100.34,107.05,65.26,60.35,83.52,82.82,61.39,158.57,435.32,95.74,50.08,100.89,59.21,59.4,59.28,77.8,104.15,94.82,154.28,84.43,90.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Point,81.42,109.52,112.92,156.29,165.99,166.91,192.28,88.24,117.52,167.49,165.32,124.79,260.32,540.75,168.4,98.78,196.16,83.16,112.63,111.27,161.32,168.52,122.92,266.58,163.31,149.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83.54615385,83.80153846,90.67307692,98.04,115.4307692,109.1246154,118.7438462,105.3907692,96.17538462,105.7046154,105.0138462,92.35230769,116.4123077,394.9861538,115.6876923,81.64615385,119.4030769,79.89230769,82.58307692,91.71230769,98.36307692,116.8684615,117.5630769,167.2292308,98.95,113.1946154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rRMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Bay,7.57,6.84,7.83,10.46,19.95,13.12,13.73,6.98,7.93,11.31,11.2,8.18,19.58,49.94,11.49,5.08,13.44,7.82,7.04,7.71,10.42,20.49,9.15,19.12,10.51,18.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upington,11.18,8.67,7.81,13.98,19.18,16.74,19.11,8.37,11.53,16.05,15.78,11.6,15.42,51.26,14.83,6.2,19.17,7.2,8.21,10.34,9.92,22.12,10.88,26.04,10.1,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Aar,8.63,8.63,8.79,14.99,15.46,18.4,20.15,9.7,12.76,17.34,17.18,12.82,12.68,50,15.73,7.63,20,8.37,8.37,11.8,9.39,19.5,12.23,26.89,9.46,19.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethlehem,14.26,14.26,13.42,13.64,14.32,14.99,16.43,11.94,11.4,15.3,15.21,12.81,12.86,44.55,17.22,13.62,17.16,14.12,14.12,12.07,14,12.16,14.61,23.55,13.95,11.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahikeng,10.12,9.99,10.3,11.36,11.32,11.62,13.7,12.34,10.55,12.47,12.33,10.94,11.62,43.4,14.88,12.17,14.45,10.51,10.32,10.51,12.7,11.38,14.75,20.72,12.67,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene,10.57,10.74,11.2,10.32,12.74,11.38,12.22,13.7,11.44,11.11,11.05,10.18,11.7,40.28,11.94,8.78,12.49,10.17,10.3,10.51,13.98,10.52,13.65,17.79,13.93,10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretoria,10.37,10.34,10.53,10.2,10.98,11.9,12.58,12.48,10.77,11.23,11.18,9.78,10.49,41.06,11.69,9.64,12.7,9.92,9.87,9.93,12.14,9.82,12.67,17.81,12.09,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thohoyandou,9.18,9.45,11.31,9.02,8.63,9.09,9.46,14.84,11.56,8.92,8.92,9.95,9.34,41.6,11,9.36,9.41,8.86,9.07,10.7,10.37,9.2,15.29,13.47,10.33,8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelspruit,9.86,10.05,15.4,11.27,11.39,9.85,10.52,19.84,15.72,10.45,10.48,12.86,11.32,40.29,11.97,15.12,10.3,9.33,9.54,14.19,15.22,9.84,18.87,14.14,15.15,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durban,13.09,14.62,19.94,16.46,14.92,14.08,14.33,24.33,20.3,15.92,16.01,19.02,14.41,42.37,20.27,15.62,14.8,13.28,14.81,19.88,16.37,14.75,25.22,15.39,16.32,16.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mthatha,8.17,9.97,8.37,8.75,10.7,10.42,11.72,10.8,8.52,9.91,9.83,7.75,10.44,48.53,11.36,7.45,11.98,7.82,9.73,7.93,7.88,10.21,10.5,19.12,7.89,10.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George,6.73,6.99,6.92,8.32,11.45,10.13,11.23,8.99,6.95,9.04,8.97,7.13,16.57,49.96,11.22,8.47,11.05,6.93,7.17,7.21,8.12,12.05,10.84,17.95,8.2,10.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellenboch,6.42,6.47,6.62,8.6,11.26,11.18,11.93,7.28,6.73,9.31,9.23,6.84,17.68,48.53,10.67,5.58,11.25,6.6,6.62,6.61,8.67,11.61,10.57,17.2,9.41,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Point,8.78,11.81,12.17,16.85,17.9,18,20.73,9.51,12.67,18.06,17.82,13.45,28.07,58.3,18.16,10.65,21.15,8.97,12.14,12,17.39,18.17,13.25,28.74,17.61,16.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,10,11,12,14,13,14,12,11,13,13,11,14,46,14,10,14,9,10,11,12,14,14,20,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
